dias_em_atraso,valor_divida,canal_utilizado,faixa_risco,faixa_atraso,canal_grupo,valor_faixa
32,15741.33,Assessoria,Alto,30-60 dias,Humano,Alto
32,12772.68,SMS,Alto,30-60 dias,Digital,Alto
62,17787.52,WhatsApp,Alto,>60 dias,Digital,Alto
105,18497.92,SMS,Muito Alto,>60 dias,Digital,Alto
59,18571.54,Ligação,Alto,30-60 dias,Humano,Alto
38,21695.76,WhatsApp,Muito Alto,30-60 dias,Digital,Alto
106,13104.29,Ligação,Muito Alto,>60 dias,Humano,Alto
41,4056.75,Ligação,Médio,30-60 dias,Humano,Alto
15,27962.53,SMS,Muito Alto,15-30 dias,Digital,Alto
72,27521.22,WhatsApp,Muito Alto,>60 dias,Digital,Alto
77,17386.69,Ligação,Alto,>60 dias,Humano,Alto
110,18633.01,Assessoria,Muito Alto,>60 dias,Humano,Alto
4,5433.09,Assessoria,Médio,<15 dias,Humano,Alto
97,14461.26,Ligação,Muito Alto,>60 dias,Humano,Alto
46,12327.97,Ligação,Alto,30-60 dias,Humano,Alto
75,29065.06,Ligação,Muito Alto,>60 dias,Humano,Alto
113,28711.69,Ligação,Muito Alto,>60 dias,Humano,Alto
2,24756.03,SMS,Muito Alto,<15 dias,Digital,Alto
25,14925.73,WhatsApp,Alto,15-30 dias,Digital,Alto
107,27309.08,WhatsApp,Muito Alto,>60 dias,Digital,Alto
70,14178.7,Assessoria,Alto,>60 dias,Humano,Alto
109,21822.65,SMS,Muito Alto,>60 dias,Digital,Alto
63,15615.28,Assessoria,Alto,>60 dias,Humano,Alto
35,20851.0,SMS,Muito Alto,30-60 dias,Digital,Alto
84,26806.91,WhatsApp,Muito Alto,>60 dias,Digital,Alto
113,27707.97,WhatsApp,Muito Alto,>60 dias,Digital,Alto
97,5414.55,SMS,Muito Alto,>60 dias,Digital,Alto
79,5717.15,WhatsApp,Alto,>60 dias,Digital,Alto
19,21714.81,WhatsApp,Muito Alto,15-30 dias,Digital,Alto
110,28785.44,WhatsApp,Muito Alto,>60 dias,Digital,Alto
95,8297.96,SMS,Muito Alto,>60 dias,Digital,Alto
118,27016.57,Assessoria,Muito Alto,>60 dias,Humano,Alto
48,9800.65,SMS,Médio,30-60 dias,Digital,Alto
97,21913.05,Assessoria,Muito Alto,>60 dias,Humano,Alto
119,4638.58,WhatsApp,Muito Alto,>60 dias,Digital,Alto
117,28652.95,Ligação,Muito Alto,>60 dias,Humano,Alto
66,16244.44,Assessoria,Alto,>60 dias,Humano,Alto
111,25462.64,Ligação,Muito Alto,>60 dias,Humano,Alto
56,2382.52,Ligação,Médio,30-60 dias,Humano,Alto
9,12764.45,Assessoria,Alto,<15 dias,Humano,Alto
27,11180.58,Ligação,Alto,15-30 dias,Humano,Alto
103,9603.53,Assessoria,Muito Alto,>60 dias,Humano,Alto
119,28647.24,Ligação,Muito Alto,>60 dias,Humano,Alto
29,20678.15,SMS,Muito Alto,15-30 dias,Digital,Alto
90,15053.96,WhatsApp,Alto,>60 dias,Digital,Alto
94,7762.6,Assessoria,Muito Alto,>60 dias,Humano,Alto
85,4080.25,WhatsApp,Alto,>60 dias,Digital,Alto
68,21930.19,SMS,Muito Alto,>60 dias,Digital,Alto
83,4458.33,Ligação,Alto,>60 dias,Humano,Alto
9,26147.02,Assessoria,Muito Alto,<15 dias,Humano,Alto
117,17204.52,Ligação,Muito Alto,>60 dias,Humano,Alto
14,18033.22,SMS,Alto,<15 dias,Digital,Alto
114,14910.56,SMS,Muito Alto,>60 dias,Digital,Alto
32,10099.75,Ligação,Alto,30-60 dias,Humano,Alto
98,11100.08,SMS,Muito Alto,>60 dias,Digital,Alto
94,6327.26,Assessoria,Muito Alto,>60 dias,Humano,Alto
70,19259.52,Assessoria,Alto,>60 dias,Humano,Alto
81,718.27,Assessoria,Alto,>60 dias,Humano,Médio
109,20899.9,Ligação,Muito Alto,>60 dias,Humano,Alto
70,13495.66,SMS,Alto,>60 dias,Digital,Alto
53,12942.37,Assessoria,Alto,30-60 dias,Humano,Alto
59,2123.08,Assessoria,Médio,30-60 dias,Humano,Alto
7,5934.98,WhatsApp,Médio,<15 dias,Digital,Alto
7,17478.22,Assessoria,Alto,<15 dias,Humano,Alto
50,3146.7,SMS,Médio,30-60 dias,Digital,Alto
6,17410.37,Assessoria,Alto,<15 dias,Humano,Alto
