feature,coef_log_odds,impacto_percentual
cat__faixa_risco_Muito Alto,0.3769311153953215,0.45780388566807906
cat__canal_grupo_Humano,0.28146578880816453,0.32507066329942
cat__faixa_atraso_<15 dias,0.2557802868832611,0.29146894409845014
cat__faixa_atraso_30-60 dias,0.22223007867208516,0.24885868055874982
cat__faixa_risco_Médio,0.2170489279590993,0.24240488898625667
remainder__valor_divida,-1.2672576287442381e-05,-1.2672495990684318e-05
remainder__dias_em_atraso,-0.0003158386079336442,-0.0003157887361711076
cat__canal_utilizado_WhatsApp,-0.028771561641989372,-0.028361601403138925
cat__valor_faixa_Médio,-0.09617590619077362,-0.0916957743213439
cat__canal_utilizado_SMS,-0.1686602524773288,-0.15520412806049932
cat__valor_faixa_Baixo,-0.4112697646469837,-0.3371918947132375
cat__faixa_atraso_>60 dias,-0.4512127168782389,-0.3631446421150235
cat__canal_utilizado_Ligação,-0.856419435468548,-0.5753200427363037
cat__faixa_risco_Baixo,-1.0561981237083773,-0.6522245004806274
